# time(ps) MSD_C MSD_Si
1642.5 43755.124277272923791 49301.25502036796388
1643 43682.191221559711266 49231.300384134665364
1643.5 43790.945528473588638 49361.314694959888584
1644 43887.471196693251841 49458.726454299496254
1644.5 43880.6879067096379 49454.199414072209038
1645 43942.282196700252825 49519.792175431066426
1645.5 43939.397224769505556 49513.656751019931107
1646 43975.427229396227631 49543.857104094051465
1646.5 44049.017892349096655 49638.412258082105836
1647 44046.320721443036746 49636.429680236549757
1647.5 44112.518147987153498 49714.331950186395261
1648 44122.263805006761686 49724.214402555357083
1648.5 44137.800983990317036 49740.705275607775548
1649 44123.050317718203587 49739.043188061543333
1649.5 44199.240429573881556 49819.094322656048462
1650 44181.121692799089942 49804.82518887968763
1650.5 44051.666799327475019 49674.425970740623598
1651 44064.495883619660162 49679.744069953536382
1651.5 44167.903803208006138 49795.595334327495948
1652 44164.572287416827749 49799.933304717800638
1652.5 44141.621497959597036 49781.362596761406166
1653 44179.012421511302819 49828.170289279507415
1653.5 44235.604592371630133 49887.468997078991379
1654 44199.851215616450645 49855.921146954933647
1654.5 44162.288020124724426 49816.755268336397421
1655 44210.656594992644386 49863.644047425659664
1655.5 44179.250888204696821 49833.874788094253745
1656 44180.86612595054612 49849.270690396813734
1656.5 44189.912385430026916 49863.400568542580004
1657 44123.244306403270457 49797.832020460031345
1657.5 44110.020751412434038 49797.613772891549161
1658 44090.594772740390908 49787.57511245032947
1658.5 44132.736058576127107 49832.816955196562049
1659 44080.689334204900661 49786.078534646578191
1659.5 44071.306525099615101 49792.710123773598752
1660 44013.205992329283617 49739.159997899005248
1660.5 44092.319318871239375 49821.480395491758827
1661 44149.16824705759791 49875.697065683685651
1661.5 44131.92579591350659 49867.566423845404643
1662 44161.18733117627562 49900.30851614306448
1662.5 44176.744648888612574 49897.59362661306659
1663 44173.357775489945197 49898.891206188760407
1663.5 44159.665471578511642 49891.552843728131847
1664 44172.621013753450825 49917.085927294159774
1664.5 44203.057019583880901 49941.90224211133318
1665 44236.458944437748869 49977.925410539945005
1665.5 44221.331247840527794 49978.027539189693925
1666 44268.79070052793395 50035.081065382888482
1666.5 44247.625623442931101 50003.702568847162183
1667 44334.564900597666565 50096.495773764865589
1667.5 44337.633035685903451 50101.325353286963946
1668 44355.708356902352534 50123.576590841817961
1668.5 44440.167478360628593 50215.171180624020053
1669 44460.516786404448794 50258.851207959080057
1669.5 44553.777075339450676 50357.180731284519425
1670 44566.634875556526822 50383.695942760539765
1670.5 44422.567554811932496 50240.511326643449138
1671 44490.606613005926192 50322.204711927261087
1671.5 44431.071353681494656 50279.783744173895684
1672 44360.250657788645185 50220.062985271091748
1672.5 44422.813848028948996 50280.357616466346371
1673 44403.124328389800212 50263.095863777583872
1673.5 44433.325334545057558 50305.964542987021559
1674 44426.011518663457537 50314.569633089362469
1674.5 44501.946831416265923 50394.124030758735898
1675 44554.436079387036443 50451.69294075097423
1675.5 44545.424046117666876 50452.505404649018601
1676 44529.24703929144016 50444.99171826105885
1676.5 44603.098366431782779 50530.800076186038496
1677 44598.797379876879859 50529.502604915403936
1677.5 44606.626500057362136 50546.047677284564998
1678 44633.740001189085888 50576.060466729548352
1678.5 44585.993083834298886 50536.705195224167255
1679 44545.874709653064201 50496.265826933340577
1679.5 44619.177578602881113 50577.577720463348669
1680 44669.594575070717838 50656.228798511685454
1680.5 44632.093889709336509 50619.814234498262522
1681 44659.563599970104406 50657.764106969567365
