# time(ps) MSD_C MSD_Si
2163.5 38884.986058450449491 42700.118333504913608
2164 38897.203555141903053 42720.211064979681396
2164.5 38844.768684497699724 42666.801100825781759
2165 38828.508205638674553 42667.211603921961796
2165.5 38776.774084619777568 42630.544018252177921
2166 38795.903195957616845 42658.846801409476029
2166.5 38823.44269176756643 42679.692295761116839
2167 38896.658778525299567 42746.101923810834705
2167.5 38878.443780059176788 42741.611297152187035
2168 38850.396836584506673 42715.681189513103163
2168.5 38835.80182041144144 42708.495963983470574
2169 38831.973833931158879 42710.527681370702339
2169.5 38823.404489435764845 42703.982504099411017
2170 38806.239762839657487 42688.868618254215107
2170.5 38879.109015787420503 42768.333939519267005
2171 38865.884646294973209 42750.173701490581152
2171.5 38799.775548849836923 42698.735573005498736
2172 38847.974038676919008 42754.002165264086216
2172.5 38775.594908047190984 42684.109911304381967
2173 38790.857457947953662 42700.732464171545871
2173.5 38776.154725523760135 42689.547461959547945
2174 38789.072451477884897 42712.241064008834655
2174.5 38823.011103502307378 42754.123124376383203
2175 38834.832420975631976 42763.766047889686888
2175.5 38849.370911741563759 42780.495699625244015
2176 38892.043847225024365 42828.567642915892066
2176.5 38810.939246284724504 42748.654799215371895
2177 38784.924998038011836 42736.363244045271131
2177.5 38737.29925194374664 42700.410041411108978
2178 38834.81808515029843 42795.525481743512501
2178.5 38868.017147338898212 42816.575695523359173
2179 38920.548592548519082 42869.275048206145584
2179.5 38920.782742650473665 42874.177093752543442
2180 38990.083932829700643 42940.288471624480735
2180.5 38943.373851621843642 42901.598587336702622
2181 38910.64960166477249 42875.498896860910463
2181.5 38865.488667533987609 42835.982887400808977
2182 38873.057804669369943 42847.88646536237502
2182.5 38845.163989082626358 42818.136716802640876
2183 38834.990905020589707 42819.913140326476423
2183.5 38868.901070005304064 42858.906679318075476
2184 38907.28855049667618 42896.49869824815687
2184.5 38938.724298492044909 42925.933992375183152
2185 38940.98412601826567 42926.994680605690519
2185.5 39024.687875303192413 43017.037062425188196
2186 39011.946259938762523 42995.67615765282244
2186.5 39017.837869419614435 43001.831768895361165
2187 38989.402173535643669 42983.375387111547752
2187.5 38966.194099991087569 42970.844807636814949
2188 38997.574977776108426 43004.562018590033404
2188.5 39037.925851333864557 43039.093311418189842
2189 39088.658747357119864 43080.825446321956406
2189.5 39039.18810272704286 43041.867217257342418
2190 38998.490185318267322 43006.551351310568862
2190.5 39000.861950768667157 43000.870480583966128
2191 39088.240313365691691 43079.328193149114668
2191.5 39055.316294139011006 43044.137765033003234
2192 39033.423541630443651 43038.1160432309116
2192.5 38962.094530400841904 42975.447529397803009
2193 38996.870434183612815 43029.370466324231529
2193.5 39029.768072280618071 43066.447028025031614
2194 39074.569594601663994 43105.189753863720398
2194.5 39025.144242150563514 43062.797072651177587
2195 39037.73569796798256 43080.29651461141475
2195.5 39001.510663148394087 43054.713849839572504
2196 39062.012627569849428 43127.109448248687841
2196.5 39008.600673263310455 43086.215631838625995
2197 39053.213627990509849 43126.656229241263645
2197.5 39069.426003978129302 43135.382163430032961
2198 39082.108636049641063 43155.177456717581663
2198.5 39082.687165260016627 43172.061871434045315
2199 39068.649215669196565 43161.06824152241461
2199.5 39084.506917908955074 43166.86679614125751
2200 39083.889941301909857 43179.75584367767442
2200.5 39079.074951012829843 43174.697482441515604
2201 39023.546808387938654 43127.320189540034335
2201.5 39006.366657084981853 43116.683066463301657
2202 39056.515444379219844 43165.327691190490441
2202.5 39081.870212931782589 43182.703845887750504
2203 39131.938231568186893 43237.794875228770252
2203.5 39079.920254156750161 43195.425851258682087
2204 39029.032110298292537 43159.941130080376752
2204.5 39034.981271953853138 43173.080928055649565
2205 39047.852711662599177 43181.353263140772469
2205.5 39087.405233884863264 43217.035986164359201
2206 39138.670173182988947 43272.909825077120331
2206.5 39150.829211964337446 43293.897857103620481
2207 39126.864170075372385 43266.409038471436361
2207.5 39155.75271881774097 43308.336799382777826
2208 39176.007602943973325 43341.387063405862136
